census_block_group,Poverty_total,Under .50,.50 to .99,1.00 to 1.24,1.25 to 1.49,1.50 to 1.84,1.85 to 1.99,2.00 and over
360050001000,0,0,0,0,0,0,0,0
360050001001,0,0,0,0,0,0,0,0
360050002000,0,0,0,0,0,0,0,0
360050002001,1744,280,197,132,24,47,170,894
360050002002,1569,214,234,0,0,242,0,879
360050002003,1219,43,49,37,125,109,0,856
360050004000,0,0,0,0,0,0,0,0
360050004001,598,82,94,7,0,0,66,349
360050004002,782,158,11,16,29,0,0,568
360050004003,3425,54,63,200,235,0,135,2738
360050004004,698,0,0,0,18,0,0,680
360050016001,3004,351,495,366,119,332,191,1150
360050016002,779,174,94,8,27,0,15,461
360050016003,894,66,57,106,177,164,0,324
360050016004,926,91,194,34,93,146,0,368
360050019000,0,0,0,0,0,0,0,0
360050019001,2057,303,283,175,66,164,25,1041
360050019002,216,33,0,75,65,0,13,30
360050019003,710,198,43,58,17,18,24,352
360050019004,0,0,0,0,0,0,0,0
360050019005,0,0,0,0,0,0,0,0
360050020001,897,75,269,0,0,28,136,389
360050020002,1794,158,194,355,0,0,0,1087
360050020003,2900,1094,800,0,201,80,13,712
360050020004,1132,307,435,0,61,0,99,230
360050020005,1005,68,100,217,0,241,0,379
360050020006,1256,553,330,137,0,0,0,236
360050023001,2234,293,492,337,261,113,40,698
360050023002,618,112,141,127,1,1,0,236
360050023003,1449,194,463,115,197,76,50,354
360050024000,0,0,0,0,0,0,0,0
360050024001,155,0,0,0,0,0,0,155
360050025001,822,41,375,0,0,79,0,327
360050025002,1302,283,253,125,75,131,52,383
360050025003,1253,295,258,126,191,67,0,316
360050025004,1570,274,61,13,179,110,72,861
360050025005,630,180,123,0,13,45,24,245
360050027011,1031,281,374,9,77,66,19,205
360050027012,1577,480,331,165,102,23,120,356
360050027021,950,406,245,26,0,24,96,153
360050027022,650,130,35,2,202,8,53,220
360050027023,1604,272,377,93,138,0,0,724
360050027024,1219,611,223,120,76,88,0,101
360050028000,0,0,0,0,0,0,0,0
360050028001,1445,1,78,0,51,179,0,1136
360050028002,2167,158,97,0,140,229,332,1211
360050028003,834,12,0,0,67,0,0,755
360050028004,675,22,13,13,17,0,0,610
360050031001,1689,98,238,72,187,126,22,946
360050033001,571,26,52,92,62,35,25,279
360050033002,1159,393,187,60,191,0,80,248
360050033003,1516,722,142,160,68,51,46,327
360050035001,522,17,173,6,9,132,0,185
360050035002,1950,139,636,105,407,87,0,576
360050035003,1415,280,293,5,24,78,26,709
360050037001,250,40,58,12,13,0,0,127
360050038001,1328,100,238,139,36,29,30,756
360050039001,1709,346,323,413,265,54,0,308
360050039002,714,95,47,74,49,94,0,355
360050039003,1703,32,731,17,48,17,0,858
360050039004,705,37,242,0,57,68,16,285
360050039005,1321,70,270,291,53,0,305,332
360050040011,1475,59,196,47,42,50,63,1018
360050041001,1437,182,236,628,15,88,0,288
360050041002,1686,276,199,59,115,108,48,881
360050041003,73,0,0,0,0,0,0,73
360050041004,2711,928,901,79,169,124,0,510
360050042001,586,16,71,0,0,0,24,475
360050042002,1819,429,541,202,363,111,0,173
360050042003,2355,25,289,0,298,212,0,1531
360050042004,1525,23,0,0,0,29,185,1288
360050042005,743,45,19,0,20,41,14,604
360050042006,0,0,0,0,0,0,0,0
360050042007,632,0,301,46,0,134,0,151
360050043001,1356,120,319,168,62,131,24,532
360050043002,1714,208,548,339,154,58,61,346
360050043003,1396,345,549,85,24,85,0,308
360050043004,1068,390,71,61,61,0,28,457
360050044001,1007,335,272,71,153,62,0,114
360050044002,520,67,154,20,0,28,0,251
360050044003,1281,226,498,0,129,92,0,336
360050044004,1401,162,498,61,103,197,0,380
360050046001,1946,380,410,246,130,106,0,674
360050048001,1955,452,168,51,209,273,18,784
360050048002,2579,375,156,152,376,160,1,1359
360050050011,936,75,48,78,62,73,0,600
360050050012,1485,323,642,89,82,140,0,209
360050050013,854,227,249,121,8,61,51,137
360050050014,1156,67,188,121,80,0,47,653
360050050021,2291,636,474,242,214,136,165,424
360050050022,831,14,259,30,0,43,84,401
360050050023,1178,181,267,81,184,170,0,295
360050050024,1252,134,100,153,108,103,46,608
360050051001,365,43,182,0,57,0,0,83
360050051002,2894,259,975,174,218,180,43,1045
360050051003,2469,467,1115,50,124,18,52,643
360050052001,733,207,155,24,63,34,0,250
360050052002,1223,133,211,61,6,381,17,414
360050053001,2916,1266,609,313,63,49,177,439
360050053002,1951,515,387,254,113,273,17,392
360050054001,891,27,79,27,107,13,0,638
360050054002,2013,396,402,43,115,136,45,876
360050054003,1229,168,321,0,140,105,64,431
360050054004,1191,219,216,76,256,115,24,285
360050056001,956,183,180,51,17,75,30,420
360050056002,601,121,96,29,60,93,0,202
360050056003,722,73,96,46,30,49,34,394
360050059021,866,107,51,0,123,81,19,485
360050059022,1885,353,477,323,46,65,39,582
360050060001,1386,256,265,33,104,37,150,541
360050061001,0,0,0,0,0,0,0,0
360050061002,3720,223,243,174,73,150,197,2660
360050061003,0,0,0,0,0,0,0,0
360050062001,1092,63,216,88,266,190,0,269
360050062002,1446,155,426,138,0,238,195,294
360050062003,2608,1179,315,456,46,330,57,225
360050062004,1811,251,579,0,0,312,0,669
360050062005,276,12,0,0,0,28,41,195
360050063001,0,0,0,0,0,0,0,0
360050063002,253,5,0,36,8,0,0,204
360050063003,781,49,157,7,30,22,0,516
360050063004,872,41,326,12,0,74,0,419
360050063005,810,7,173,76,24,81,34,415
360050063006,1855,252,311,252,51,107,92,790
360050064001,1857,354,89,101,33,28,67,1185
360050064002,279,43,0,0,42,0,13,181
360050064003,418,11,49,31,22,0,78,227
360050064004,1301,221,193,0,132,409,95,251
360050065001,978,209,152,122,0,146,28,321
360050065002,2318,660,461,86,287,91,199,534
360050065003,1050,49,14,93,213,38,121,522
360050065004,982,262,432,0,3,0,0,285
360050067001,847,327,155,36,45,88,0,196
360050067002,2184,0,484,116,178,198,0,1208
360050067003,1027,550,139,90,0,54,0,194
360050067004,1559,417,216,139,99,285,0,403
360050067005,396,128,169,11,0,0,0,88
360050067006,692,6,151,0,0,178,0,357
360050068001,1336,129,85,80,122,322,108,490
360050068002,687,168,33,0,0,49,0,437
360050068003,1207,124,125,17,191,4,44,702
360050069001,3523,236,991,4,29,403,90,1770
360050069002,1521,234,231,192,113,29,78,644
360050069003,1300,327,208,0,18,208,0,539
360050069004,1403,329,298,253,80,57,34,352
360050070001,2559,409,179,331,129,204,304,1003
360050070002,785,73,45,186,0,134,0,347
360050070003,1018,120,0,122,35,70,130,541
360050071001,894,0,39,52,58,68,5,672
360050071002,1838,189,331,148,92,158,126,794
360050072001,2274,176,169,64,374,89,155,1247
360050072002,2204,393,484,340,92,114,47,734
360050072003,919,200,46,100,8,28,0,537
360050072004,814,11,58,282,10,10,0,443
360050073001,1342,254,460,206,143,10,0,269
360050073002,1542,346,497,0,266,40,24,369
360050073003,1392,374,150,40,259,45,53,471
360050074001,938,103,236,0,38,0,24,537
360050074002,1501,351,250,22,77,0,0,801
360050074003,1195,44,177,92,37,35,28,782
360050075001,1656,299,401,32,268,31,56,569
360050075002,3488,596,216,545,74,293,146,1618
360050075003,605,112,62,12,101,60,19,239
360050075004,932,204,83,61,90,158,0,336
360050076001,1042,41,122,122,0,15,47,695
360050076002,1136,58,181,0,135,82,37,643
360050076003,983,38,86,133,155,213,164,194
360050076004,1369,278,304,51,177,56,32,471
360050076005,736,145,203,0,153,18,0,217
360050077001,2011,296,338,228,185,130,83,751
360050078001,1323,91,71,0,137,0,10,1014
360050078002,3446,321,380,374,323,236,173,1639
360050078003,1079,0,284,195,0,159,0,441
360050078004,1542,156,246,141,503,0,0,496
360050079001,1879,117,960,372,128,165,0,137
360050079002,644,203,289,4,17,0,0,131
360050079003,1083,137,646,1,42,33,0,224
360050079004,1763,33,53,244,0,177,105,1151
360050079005,536,172,115,0,0,121,37,91
360050079006,1258,590,195,0,100,0,0,373
360050083001,1247,124,36,362,0,0,288,437
360050083002,833,368,59,115,0,0,0,291
360050083003,1545,231,67,218,453,55,13,508
360050083004,1427,222,427,109,0,112,0,557
360050083005,1019,15,307,40,375,0,6,276
360050083006,635,18,58,70,0,54,0,435
360050084001,748,66,56,26,0,107,15,478
360050084002,2130,51,60,55,36,217,19,1692
360050085001,489,180,55,62,0,0,0,192
360050085002,2374,301,552,191,21,173,25,1111
360050085003,920,56,59,46,97,27,40,595
360050085004,339,10,80,62,55,59,0,73
360050085005,1227,478,114,148,49,152,84,202
360050086001,649,0,39,0,0,34,0,576
360050086002,2151,445,703,113,5,393,26,466
360050086003,1033,293,330,85,47,90,0,188
360050087001,1362,356,293,34,84,328,28,239
360050087002,1595,197,492,99,49,202,189,367
360050087003,882,92,131,193,128,0,101,237
360050087004,814,97,192,19,105,46,0,355
360050087005,1315,346,379,141,72,41,0,336
360050089001,1514,103,184,833,20,146,0,228
360050089002,1701,185,244,140,100,26,0,1006
360050090000,0,0,0,0,0,0,0,0
360050090001,34,0,0,0,0,0,0,34
360050090002,307,26,104,0,0,6,7,164
360050090003,848,186,252,59,44,214,32,61
360050090004,851,148,0,221,31,0,0,451
360050090005,1394,310,216,252,78,81,22,435
360050092001,1100,169,105,37,135,100,11,543
360050092002,930,107,187,0,22,81,59,474
360050092003,2165,192,335,77,0,241,41,1279
360050092004,809,8,305,79,109,0,0,308
360050092005,816,60,39,109,32,0,13,563
360050093000,0,0,0,0,0,0,0,0
360050093001,0,0,0,0,0,0,0,0
360050093002,1076,215,333,33,41,0,0,454
360050093003,2181,435,579,266,26,348,19,508
360050093004,1021,212,129,62,38,0,61,519
360050093005,839,292,51,0,23,80,76,317
360050093006,344,123,66,0,144,0,0,11
360050096001,1987,196,223,109,268,61,106,1024
360050096002,603,122,0,5,31,75,9,361
360050098001,628,15,0,0,32,0,0,581
360050098002,705,29,33,7,30,0,0,606
360050098003,1252,246,0,27,0,53,0,926
360050098004,969,183,0,0,43,116,0,627
360050098005,1133,51,98,92,46,88,16,742
360050110000,0,0,0,0,0,0,0,0
360050110001,0,0,0,0,0,0,0,0
360050115020,0,0,0,0,0,0,0,0
360050115021,1442,363,584,86,8,203,61,137
360050115022,1356,338,267,33,10,81,0,627
360050115023,1596,379,363,208,21,0,0,625
360050117000,0,0,0,0,0,0,0,0
360050117001,1443,245,438,117,42,204,13,384
360050117002,0,0,0,0,0,0,0,0
360050118000,0,0,0,0,0,0,0,0
360050118001,1320,13,102,43,9,0,65,1088
360050118002,1163,9,58,67,13,30,0,986
360050118003,1623,121,51,0,31,0,119,1301
360050119001,2136,132,331,218,260,233,159,803
360050119002,892,85,179,36,24,171,0,397
360050119003,553,101,8,117,23,150,10,144
360050119004,894,67,425,127,10,26,0,239
360050119005,962,461,91,0,183,78,0,149
