census_block_group,Race_total,White_alone,Black_or_African_American_alone,American_Indian_and_Alaska_Native_alone,Asian_alone,Native_Hawaiian_and_Other_Pacific_Islander_alone,Some_other_race_alone,Two_or_more_races,Hispanic_or_Latino_(Any_Race)
360050001000,0,0,0,0,0,0,0,0,0
360050001001,6864,603,3601,18,181,0,19,35,2407
360050002000,0,0,0,0,0,0,0,0,0
360050002001,1744,12,509,0,0,0,0,0,1223
360050002002,1569,11,160,0,0,0,60,0,1338
360050002003,1219,10,251,0,75,0,0,0,883
360050004000,0,0,0,0,0,0,0,0,0
360050004001,598,72,18,0,7,0,0,0,501
360050004002,782,116,71,0,0,0,0,23,572
360050004003,3425,140,1087,0,91,0,9,12,2086
360050004004,711,59,88,0,23,0,0,39,502
360050016001,3004,31,1506,0,0,0,50,0,1417
360050016002,788,80,41,0,64,0,0,0,603
360050016003,894,33,361,0,0,0,0,25,475
360050016004,1139,69,113,0,0,0,0,0,957
360050019000,0,0,0,0,0,0,0,0,0
360050019001,2059,235,597,0,53,0,13,36,1125
360050019002,216,11,19,0,9,0,0,0,177
360050019003,866,94,321,0,10,0,9,20,412
360050019004,0,0,0,0,0,0,0,0,0
360050019005,0,0,0,0,0,0,0,0,0
360050020001,897,0,477,0,0,0,0,0,420
360050020002,1794,0,222,0,0,0,0,0,1572
360050020003,2921,21,723,0,0,0,0,0,2177
360050020004,1132,0,745,0,0,0,0,23,364
360050020005,1005,0,570,0,0,0,0,53,382
360050020006,1291,0,294,0,0,0,0,0,997
360050023001,2234,0,661,16,0,0,0,0,1557
360050023002,619,1,134,0,0,0,0,7,477
360050023003,1449,0,397,0,0,0,24,0,1028
360050024000,0,0,0,0,0,0,0,0,0
360050024001,155,65,90,0,0,0,0,0,0
360050025001,841,0,28,0,6,0,12,0,795
360050025002,1302,11,555,0,0,0,31,0,705
360050025003,1253,15,181,0,0,0,0,0,1057
360050025004,1584,105,430,0,0,0,0,0,1049
360050025005,630,89,161,0,0,0,0,0,380
360050027011,1031,0,312,0,0,0,0,0,719
360050027012,1577,0,331,0,0,0,0,0,1246
360050027021,950,0,378,0,0,0,0,21,551
360050027022,766,0,483,0,0,0,0,0,283
360050027023,1625,36,826,20,0,0,0,0,743
360050027024,1219,0,230,0,0,0,0,0,989
360050028000,0,0,0,0,0,0,0,0,0
360050028001,1451,0,513,0,0,0,0,0,938
360050028002,2191,33,1890,0,0,0,0,18,250
360050028003,834,0,731,0,0,0,0,0,103
360050028004,675,18,386,0,0,0,0,16,255
360050031001,1689,24,394,0,74,0,7,0,1190
360050033001,571,9,257,0,0,0,0,0,305
360050033002,1190,15,187,68,0,0,61,71,788
360050033003,1516,68,551,0,0,0,0,0,897
360050035001,522,0,112,0,0,0,0,0,410
360050035002,1950,0,1025,0,0,0,0,0,925
360050035003,1435,17,106,0,0,0,0,0,1312
360050037001,250,21,77,0,0,0,0,0,152
360050038001,1350,0,322,0,0,0,0,0,1028
360050039001,1732,0,153,0,0,0,0,0,1579
360050039002,714,210,71,0,0,0,0,0,433
360050039003,1703,225,641,0,0,0,0,0,837
360050039004,765,0,81,0,0,0,0,0,684
360050039005,1346,85,27,0,0,0,0,0,1234
360050040011,1475,128,127,19,161,0,23,26,991
360050041001,1446,9,110,0,0,0,0,11,1316
360050041002,1712,93,522,0,12,0,0,0,1085
360050041003,73,0,0,0,0,0,0,0,73
360050041004,2711,0,993,0,0,0,0,0,1718
360050042001,586,0,214,0,0,0,0,0,372
360050042002,1819,301,184,0,0,0,0,0,1334
360050042003,2392,22,1101,0,0,0,0,0,1269
360050042004,1525,0,475,0,0,0,0,0,1050
360050042005,743,0,566,0,18,0,0,27,132
360050042006,0,0,0,0,0,0,0,0,0
360050042007,632,86,123,0,14,0,0,0,409
360050043001,1374,25,193,0,0,0,0,8,1148
