census_block_group,Race_total,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races
360050001000,0,0,0,0,0,0,0,0
360050001001,6864,2233,3824,18,181,0,505,103
360050002000,0,0,0,0,0,0,0,0
360050002001,1744,803,578,0,0,0,337,26
360050002002,1569,578,458,0,0,0,441,92
360050002003,1219,538,335,0,75,0,218,53
360050004000,0,0,0,0,0,0,0,0
360050004001,598,423,39,0,7,0,129,0
360050004002,782,584,137,0,0,0,38,23
360050004003,3425,1076,1413,17,178,0,514,227
360050004004,711,353,88,0,23,0,208,39
360050016001,3004,724,1748,0,12,0,396,124
360050016002,788,516,59,0,64,0,149,0
360050016003,894,193,386,0,0,0,242,73
360050016004,1139,451,346,0,0,0,342,0
360050019000,0,0,0,0,0,0,0,0
360050019001,2059,524,755,0,68,0,586,126
360050019002,216,24,19,0,9,0,121,43
360050019003,866,137,349,45,10,0,282,43
360050019004,0,0,0,0,0,0,0,0
360050019005,0,0,0,0,0,0,0,0
360050020001,897,351,477,0,0,0,69,0
360050020002,1794,813,266,84,0,0,580,51
360050020003,2921,1369,1107,0,0,0,278,167
360050020004,1132,109,745,0,0,0,163,115
360050020005,1005,283,570,0,0,0,68,84
360050020006,1291,245,614,28,0,0,371,33
360050023001,2234,265,815,49,0,0,1078,27
360050023002,619,175,168,0,0,0,228,48
360050023003,1449,144,633,0,0,0,657,15
360050024000,0,0,0,0,0,0,0,0
360050024001,155,65,90,0,0,0,0,0
360050025001,841,174,38,0,6,0,612,11
360050025002,1302,298,670,0,0,0,297,37
360050025003,1253,133,297,19,0,0,769,35
360050025004,1584,295,430,0,0,0,785,74
360050025005,630,200,276,0,0,24,109,21
360050027011,1031,110,454,0,0,0,439,28
360050027012,1577,185,408,0,0,0,984,0
360050027021,950,142,417,0,0,0,310,81
360050027022,766,51,487,0,0,0,212,16
360050027023,1625,160,921,72,0,0,387,85
360050027024,1219,185,295,0,0,0,739,0
360050028000,0,0,0,0,0,0,0,0
360050028001,1451,433,623,0,0,0,334,61
360050028002,2191,50,1910,0,0,0,176,55
360050028003,834,83,731,0,0,0,0,20
360050028004,675,89,478,0,0,0,26,82
360050031001,1689,350,437,0,74,0,729,99
360050033001,571,62,293,0,0,0,204,12
360050033002,1190,136,247,68,0,0,647,92
360050033003,1516,229,551,0,0,0,727,9
360050035001,522,92,169,0,0,0,252,9
360050035002,1950,254,1084,11,0,0,539,62
360050035003,1435,157,219,85,0,0,928,46
360050037001,250,60,102,0,0,0,88,0
360050038001,1350,895,344,7,0,0,104,0
360050039001,1732,179,153,0,0,0,1377,23
360050039002,714,220,71,0,0,0,423,0
360050039003,1703,470,641,0,0,0,592,0
360050039004,765,87,81,43,0,0,554,0
360050039005,1346,352,182,0,0,0,812,0
360050040011,1475,334,209,19,161,0,710,42
360050041001,1446,165,110,219,0,0,759,193
360050041002,1712,618,522,0,12,0,560,0
360050041003,73,73,0,0,0,0,0,0
360050041004,2711,114,1417,0,0,0,1135,45
360050042001,586,272,214,0,0,0,100,0
360050042002,1819,1042,411,0,0,0,244,122
360050042003,2392,545,1430,0,0,0,376,41
